% Model,Prototipo-1_1-Bobinas-eq-0A-2A.mph
% Version,COMSOL 4.4.0.150
% Date,"Aug 21 2014, 17:30"
% Table,Table 1 - Global Evaluation 1 (mf.Forcex_0)
% imax,"Electromagnetic force, x component (N)"
0,0
0.1,0.5537259294651645
0.2,2.344717481399138
0.30000000000000004,5.390754532844998
0.4,9.656963295150778
0.5,15.097727044421124
0.6000000000000001,21.618051976104198
0.7000000000000001,29.134354442660044
0.8,37.34558674295833
0.9,45.97954414448044
1,55.17266992187221
1.1,64.78610054130182
1.2000000000000002,74.57928575941574
1.3,84.77675602515258
1.4000000000000001,95.41030209255322
1.5,106.45819157510857
1.6,117.66464722295075
1.7000000000000002,127.2029891065356
1.8,136.26389103543872
1.9000000000000001,145.26269523323825
2,154.03472754303664
