% Model,Passivo:dz.mph
% Version,COMSOL 4.4.0.150
% Date,"Mar 4 2014, 19:39"
% Table,Table 13 - Forca y (mf.Forcey_0)
% dy,"Electromagnetic force, y component (N)"
0,10.890974821060087
0.1,10.487854865469421
0.2,8.934232486066902
0.30000000000000004,5.195157181046421
0.4,-0.041398918134495005
0.5,-0.16324335512936483
0.6000000000000001,-4.398956429765032
0.7000000000000001,-2.6306920419752196
0.8,-5.250429673406649
0.9,-6.725633782376941
1,-9.139124754362468
1.1,-11.232213744730501
1.2000000000000002,-13.454673352748717
